New Run
New Run
New Run
New Run
New Run
New Run
New Run
New Run
New Run
New Run
New Trainings Run of User: ck92
 Current Time: 13.158
 Current Scenario: Measurement Occlusion
 Current Input method: HeadHybrid
Name of the gameobject; Click Time; Time since Instantiate; Bounding Rect Area; Screen Position; Distance from last Target; Distance from last Target Screen; Angle between last and current Target
Target_000; 16.13561; 2.977613; 120.1993; (706.9, -213.3, 0.0); 18.2664; 5248.61; 86.79276
Target_001; 19.04722; 2.911608; 249.9065; (954.8, -339.0, 0.0); 28.69041; 1071.97; 120.6313
Target_002; 21.08092; 2.033701; 515.3184; (1079.4, -318.5, 0.0); 7.846099; 386.9869; 29.03584
Target_003; 22.4808; 1.399881; 469.7675; (921.6, -178.2, 0.0); 7.849373; 914.9277; 48.08934
Target_004; 25.1586; 2.677799; 131.0748; (856.4, -256.0, 0.0); 21.92762; 5514.332; 96.27483
Target_005; 26.41423; 1.25563; 1053.025; (976.9, -283.6, 0.0); 13.00694; 335.5757; 25.72514
Target_006; 31.45856; 5.044325; 166.5453; (871.1, -106.4, 0.0); 9.203363; 849.4505; 49.66294
Target_007; 32.90316; 1.444601; 497.4753; (955.1, -158.1, 0.0); 5.743126; 312.4403; 24.46156
Target_008; 35.56951; 2.666355; 158.9949; (1026.9, -260.6, 0.0); 13.85377; 640.7503; 46.85045
Target_009; 38.33656; 2.767044; 133.75; (788.3, -219.0, 0.0); 29.08557; 2441.441; 107.5984
Target_010; 40.56253; 2.225979; 112.9363; (947.4, -217.0, 0.0); 20.65291; 1494.694; 67.75731
Target_011; 42.91389; 2.351357; 167.1855; (752.4, -161.0, 0.0); 24.6967; 18751.83; 95.53428
Target_012; 44.0704; 1.156506; 1228.261; (842.1, -280.8, 0.0); 8.346962; 217.1784; 17.11442
Target_013; 48.50257; 4.432171; 212.1462; (924.4, -178.4, 0.0); 11.48356; 1821.968; 69.94408
Target_014; 51.56933; 3.066765; 156.985; (840.4, -325.9, 0.0); 7.014294; 303.465; 23.74079
Target_015; 54.77987; 3.210537; 319.7442; (647.2, -146.1, 0.0); 17.93759; 2279.433; 83.43216
Target_016; 57.60209; 2.822216; 796.6174; (928.5, -275.9, 0.0); 13.22434; 5909.115; 100.6734
Target_017; 59.94669; 2.344608; 106.9228; (805.4, -99.3, 0.0); 17.7351; 2231.973; 76.45835
Target_018; 63.52465; 3.577953; 157.8049; (915.7, -258.4, 0.0); 24.33385; 6102.333; 87.91436
Target_019; 64.90194; 1.377293; 1792.168; (1017.4, -363.6, 0.0); 11.5571; 279.4853; 21.14759
Target_020; 66.95759; 2.055649; 220.7726; (926.4, -188.2, 0.0); 8.264388; 648.3027; 38.95612
Target_021; 69.01328; 2.055695; 1042.638; (885.0, -340.4, 0.0); 12.44934; 2575.341; 76.23696
Target_022; 71.76862; 2.755333; 836.3195; (1035.3, -211.3, 0.0); 10.62545; 9055.282; 98.50816
Target_023; 74.22385; 2.455238; 6297.853; (821.8, -304.1, 0.0); 9.190536; 711.3065; 129.9772
Target_024; 78.75723; 4.533371; 2366.149; (891.3, -357.8, 0.0); 3.205207; 1066.236; 51.37319
Target_025; 81.0461; 2.288879; 516.6987; (793.6, -268.0, 0.0); 7.830195; 1375.361; 59.76688
Target_026; 84.13495; 3.088844; 1307.556; (954.7, -166.6, 0.0); 10.65486; 118525.7; 94.28979
End of Trainings Run of User: ck92
Current Time: 84.13495
New Trainings Run of User: ck92
 Current Time: 85.78011
 Current Scenario: Measurement Occlusion
 Current Input method: HeadHybrid
Name of the gameobject; Click Time; Time since Instantiate; Bounding Rect Area; Screen Position; Distance from last Target; Distance from last Target Screen; Angle between last and current Target
Target_028; 87.61322; 1.833115; 5587.651; (988.4, -287.0, 0.0); 2.532871; 311.1554; 24.36616
